x,y,z,y-coordinate,x_velocity,y_velocity,z_velocity
337.13849,-4865.0801,-3537,-4865.7988,0,0,0
337.13849,-4864.0552,-3537,-4864.7739,1.0249,0,0
337.13849,-4862.9795,-3537,-4863.6978,2.1006,0,0
337.13849,-4861.8501,-3537,-4862.5679,3.23,0,0
337.13849,-4860.6641,-3537,-4861.3813,4.416,0,0
337.13849,-4859.4185,-3537,-4860.1357,5.6616,0,0
337.13849,-4858.1113,-3537,-4858.8276,6.9688,0,0
337.13849,-4856.7383,-3537,-4857.4541,8.3418,0,0
337.13849,-4855.2969,-3537,-4856.0117,9.7832,0,0
337.13849,-4853.7827,-3537,-4854.4976,11.2974,0,0
337.13849,-4852.1934,-3537,-4852.9077,12.8867,0,0
337.13849,-4850.5244,-3537,-4851.2383,14.5557,0,0
337.13849,-4848.7725,-3537,-4849.4854,16.3076,0,0
337.13849,-4846.9326,-3537,-4847.6445,18.1475,0,0
337.13849,-4845.0005,-3537,-4845.7119,20.0796,0,0
337.13849,-4842.9722,-3537,-4843.6826,22.1079,0,0
337.13849,-4840.8423,-3537,-4841.5518,24.2378,0,0
337.13849,-4838.6055,-3537,-4839.3145,26.4746,0,0
337.13849,-4836.2578,-3537,-4836.9653,28.8223,0,0
337.13849,-4833.792,-3537,-4834.499,31.2881,0,0
337.13849,-4831.2026,-3537,-4831.9087,33.8775,0,0
337.13849,-4828.4844,-3537,-4829.1895,36.5957,0,0
337.13849,-4825.6304,-3537,-4826.334,39.4497,0,0
337.13849,-4822.6328,-3537,-4823.3354,42.4473,0,0
337.13849,-4819.4863,-3537,-4820.1875,45.5938,0,0
337.13849,-4816.1816,-3537,-4816.8818,48.8985,0,0
337.13849,-4812.7119,-3537,-4813.4111,52.3682,0,0
337.13849,-4809.0693,-3537,-4809.7666,56.0108,0,0
337.13849,-4805.2441,-3537,-4805.9399,59.836,0,0
337.13849,-4801.2275,-3537,-4801.9219,63.8526,0,0
337.13849,-4797.0107,-3537,-4797.7031,68.0694,0,0
337.13849,-4792.5825,-3537,-4793.2734,72.4976,0,0
337.13849,-4787.9336,-3537,-4788.6221,77.1465,0,0
337.13849,-4783.0508,-3537,-4783.7383,82.0293,0,0
337.13849,-4777.9253,-3537,-4778.6104,87.1548,0,0
337.13849,-4772.543,-3537,-4773.2256,92.5371,0,0
337.13849,-4766.8911,-3537,-4767.5718,98.189,0,0
337.13849,-4760.9575,-3537,-4761.6353,104.1226,0,0
337.13849,-4754.7271,-3537,-4755.4023,110.353,0,0
337.13849,-4748.1846,-3537,-4748.8569,116.8955,0,0
337.13849,-4741.3154,-3537,-4741.9849,123.7647,0,0
337.13849,-4734.1021,-3537,-4734.769,130.978,0,0
337.13849,-4726.5288,-3537,-4727.1924,138.5513,0,0
337.13849,-4718.5762,-3537,-4719.2368,146.5039,0,0
337.13849,-4710.2266,-3537,-4710.8838,154.8535,0,0
337.13849,-4701.4595,-3537,-4702.1128,163.6206,0,0
337.13849,-4692.2524,-3537,-4692.9023,172.8277,0,0
337.13849,-4682.585,-3537,-4683.2319,182.4951,0,0
337.13849,-4672.4341,-3537,-4673.0771,192.646,0,0
337.13849,-4661.7734,-3537,-4662.4136,203.3067,0,0
337.13849,-4650.5825,-3537,-4651.2183,214.4976,0,0
337.13849,-4638.8315,-3537,-4639.4634,226.2486,0,0
337.13849,-4626.4902,-3537,-4627.1187,238.5899,0,0
337.13849,-4613.5352,-3537,-4614.1587,251.5449,0,0
337.13849,-4599.9316,-3537,-4600.5503,265.1485,0,0
337.13849,-4585.6455,-3537,-4586.2603,279.4346,0,0
337.13849,-4570.6475,-3537,-4571.2573,294.4326,0,0
337.13849,-4554.9004,-3537,-4555.5039,310.1797,0,0
337.13849,-4538.3618,-3537,-4538.9609,326.7183,0,0
337.13849,-4521,-3537,-4521.5928,344.0801,0,0
337.13849,-4502.7705,-3537,-4503.3569,362.3096,0,0
337.13849,-4483.625,-3537,-4484.2061,381.4551,0,0
337.13849,-4463.5225,-3537,-4464.0996,401.5576,0,0
337.13849,-4442.4189,-3537,-4442.9888,422.6612,0,0
337.13849,-4420.2603,-3537,-4420.8228,444.8198,0,0
337.13849,-4397.2554,-3537,-4397.5205,467.8247,0,0
337.13849,-4373.9482,-3537,-4373.9985,491.1319,0,0
337.13849,-4350.6523,-3537,-4350.6353,514.4278,0,0
337.13849,-4327.3857,-3537,-4327.3389,537.6944,0,0
337.13849,-4304.1528,-3537,-4304.0908,560.9273,0,0
337.13849,-4280.9536,-3537,-4280.8809,584.1265,0,0
337.13849,-4257.7871,-3537,-4257.7041,607.293,0,0
337.13849,-4234.6509,-3537,-4234.5557,630.4292,0,0
337.13849,-4211.5425,-3537,-4211.4336,653.5376,0,0
337.13849,-4188.4614,-3537,-4188.3345,676.6187,0,0
337.13849,-4165.4067,-3537,-4165.2568,699.6734,0,0
337.13849,-4142.3789,-3537,-4142.2002,722.7012,0,0
337.13849,-4119.3774,-3537,-4119.1631,745.7027,0,0
337.13849,-4096.4048,-3537,-4096.145,768.6753,0,0
337.13849,-4073.4614,-3537,-4073.1431,791.6187,0,0
337.13849,-4050.5503,-3537,-4050.1523,814.5298,0,0
337.13849,-4027.6729,-3537,-4027.158,837.4072,0,0
337.13849,-4004.8311,-3537,-4004.1125,860.249,0,0
337.13849,-3982.0249,-3537,-3980.8198,883.0552,0,0
337.13849,-3956.519,-3537,-3955.4031,908.5611,0,0
337.13849,-3927.29,-3537,-3926.3418,937.7901,0,0
337.13849,-3894.5515,-3537,-3893.7417,970.5286,0,0
337.13849,-3856.9016,-3537,-3856.5623,1008.1785,0,0
337.13849,-3814.5095,-3537,-3814.7131,1050.5706,0,0
337.13849,-3769.7832,-3537,-3770.3413,1095.2969,0,0
337.13849,-3725.0566,-3537,-3725.6084,1140.0235,0,0
337.13849,-3680.3306,-3537,-3680.8755,1184.7495,0,0
337.13849,-3635.604,-3537,-3636.1426,1229.4761,0,0
337.13849,-3590.8777,-3537,-3591.4094,1274.2024,0,0
337.13849,-3546.1514,-3537,-3546.6765,1318.9287,0,0
337.13849,-3501.4248,-3537,-3501.9436,1363.6553,0,0
337.13849,-3456.6985,-3537,-3457.2104,1408.3816,0,0
337.13849,-3411.9722,-3537,-3412.4775,1453.1079,0,0
337.13849,-3367.2458,-3537,-3367.7446,1497.8343,0,0
337.13849,-3322.5195,-3537,-3323.0117,1542.5606,0,0
337.13849,-3277.793,-3537,-3278.2786,1587.2871,0,0
337.13849,-3233.0667,-3537,-3233.5457,1632.0134,0,0
337.13849,-3188.3403,-3537,-3188.8127,1676.7398,0,0
337.13849,-3143.6138,-3537,-3144.0796,1721.4663,0,0
337.13849,-3098.8875,-3537,-3099.3467,1766.1926,0,0
337.13849,-3054.1611,-3537,-3054.6138,1810.919,0,0
337.13849,-3009.4348,-3537,-3009.8806,1855.6453,0,0
337.13849,-2964.7085,-3537,-2965.1477,1900.3716,0,0
337.13849,-2919.9819,-3537,-2920.4148,1945.0982,0,0
337.13849,-2875.2556,-3537,-2875.6819,1989.8245,0,0
337.13849,-2830.5293,-3537,-2830.9487,2034.5508,0,0
337.13849,-2785.8027,-3537,-2786.2158,2079.2774,0,0
337.13849,-2741.0764,-3537,-2741.4829,2124.0037,0,0
337.13849,-2696.3501,-3537,-2696.7498,2168.73,0,0
337.13849,-2651.6238,-3537,-2652.0168,2213.4563,0,0
337.13849,-2606.8975,-3537,-2607.2839,2258.1826,0,0
337.13849,-2562.1709,-3537,-2562.551,2302.9092,0,0
337.13849,-2517.4446,-3537,-2517.8179,2347.6355,0,0
337.13849,-2472.7183,-3537,-2473.085,2392.3618,0,0
337.13849,-2427.9919,-3537,-2428.3521,2437.0882,0,0
337.13849,-2383.2656,-3537,-2383.6191,2481.8145,0,0
337.13849,-2338.5391,-3537,-2338.886,2526.541,0,0
337.13849,-2293.8125,-3537,-2294.1531,2571.2676,0,0
337.13849,-2249.0864,-3537,-2249.4199,2615.9937,0,0
337.13849,-2204.3599,-3537,-2204.687,2660.7202,0,0
337.13849,-2159.6335,-3537,-2159.9541,2705.4466,0,0
337.13849,-2114.9072,-3537,-2115.2212,2750.1729,0,0
337.13849,-2070.1807,-3537,-2070.488,2794.8994,0,0
337.13849,-2025.4545,-3537,-2025.7551,2839.6256,0,0
337.13849,-1980.728,-3537,-1981.0221,2884.3521,0,0
337.13849,-1936.0016,-3537,-1936.2892,2929.0785,0,0
337.13849,-1891.2751,-3537,-1891.5562,2973.805,0,0
337.13849,-1846.5488,-3537,-1846.8232,3018.5313,0,0
337.13849,-1801.8223,-3537,-1802.0902,3063.2578,0,0
337.13849,-1757.0961,-3537,-1757.3572,3107.984,0,0
337.13849,-1712.3698,-3537,-1712.6243,3152.7103,0,0
337.13849,-1667.6433,-3537,-1667.8912,3197.4368,0,0
337.13849,-1622.917,-3537,-1623.1583,3242.1631,0,0
337.13849,-1578.1906,-3537,-1578.4253,3286.8895,0,0
337.13849,-1533.4642,-3537,-1533.6924,3331.6159,0,0
337.13849,-1488.7378,-3537,-1488.9594,3376.3423,0,0
337.13849,-1444.0114,-3537,-1444.2263,3421.0687,0,0
337.13849,-1399.2849,-3537,-1399.4934,3465.7952,0,0
337.13849,-1354.5587,-3537,-1354.7604,3510.5214,0,0
337.13849,-1309.8323,-3537,-1310.0275,3555.2478,0,0
337.13849,-1265.1058,-3537,-1265.2944,3599.9743,0,0
337.13849,-1220.3795,-3537,-1220.5615,3644.7006,0,0
337.13849,-1175.6532,-3537,-1175.8285,3689.4269,0,0
337.13849,-1130.9268,-3537,-1131.0956,3734.1533,0,0
337.13849,-1086.2004,-3537,-1086.3625,3778.8797,0,0
337.13849,-1041.474,-3537,-1041.6295,3823.6061,0,0
337.13849,-996.74756,-3537,-996.89655,3868.33254,0,0
337.13849,-952.02118,-3537,-952.16357,3913.05892,0,0
337.13849,-907.2948,-3537,-907.4306,3957.7853,0,0
337.13849,-862.56842,-3537,-862.69763,4002.51168,0,0
337.13849,-817.84204,-3537,-817.96466,4047.23806,0,0
337.13849,-773.11566,-3537,-773.23163,4091.96444,0,0
337.13849,-728.38928,-3537,-728.49866,4136.69082,0,0
337.13849,-683.6629,-3537,-683.76569,4181.4172,0,0
337.13849,-638.93652,-3537,-639.03271,4226.14358,0,0
337.13849,-594.21014,-3537,-594.29968,4270.86996,0,0
337.13849,-549.48376,-3537,-549.56677,4315.59634,0,0
337.13849,-504.75742,-3537,-504.83374,4360.32268,0,0
337.13849,-460.03101,-3537,-460.10077,4405.04909,0,0
337.13849,-415.30463,-3537,-415.3678,4449.77547,0,0
337.13849,-370.57825,-3537,-370.63483,4494.50185,0,0
337.13849,-325.85187,-3537,-325.90186,4539.22823,0,0
337.13849,-281.12549,-3537,-281.16885,4583.95461,0,0
337.13849,-236.39908,-3537,-236.43587,4628.68102,0,0
337.13849,-191.6727,-3537,-191.7029,4673.4074,0,0
337.13849,-146.94633,-3537,-146.96991,4718.13377,0,0
337.13849,-102.21996,-3537,-102.23692,4762.86014,0,0
337.13849,-57.493576,-3537,-57.503937,4807.586524,0,0
337.13849,-12.767189,-3537,-12.770952,4852.312911,0,0
337.13849,-4701.4375,-3493,-4702.2432,,0,0
337.13849,-4692.2368,-3493,-4693.0366,,0,0
337.13849,-4682.5771,-3493,-4683.3711,,0,0
337.13849,-4672.4341,-3493,-4673.2207,,0,0
337.13849,-4661.7734,-3493,-4662.5571,,0,0
337.13849,-4650.5918,-3493,-4651.3672,,0,0
337.13849,-4638.8501,-3493,-4639.6172,,0,0
337.13849,-4626.5093,-3493,-4627.2729,,0,0
337.13849,-4613.5645,-3493,-4614.3193,,0,0
337.13849,-4599.9727,-3493,-4600.7183,,0,0
337.13849,-4585.687,-3493,-4586.4282,,0,0
337.13849,-4570.7031,-3493,-4571.4336,,0,0
337.13849,-4554.9692,-3493,-4555.689,,0,0
337.13849,-4538.4316,-3493,-4539.147,,0,0
337.13849,-4521.0864,-3493,-4521.7896,,0,0
337.13849,-4502.873,-3493,-4503.564,,0,0
337.13849,-4483.729,-3493,-4484.4141,,0,0
337.13849,-4463.627,-3493,-4464.3076,,0,0
337.13849,-4442.5444,-3493,-4443.2095,,0,0
