[Name],,,
inlet,,,
,,,
[Data],,,
x,y,z,velocity
0,0.18756232,0.55690217,10
0,0.2364285,0.55701572,10
0,0.18273434,0.57638031,10
0,0.28568769,0.55713022,10
0,0.23189074,0.57650143,10
0,0.1802991,0.59627503,10
0,0.33494687,0.55724478,10
0,0.28144264,0.57662362,10
0,0.22960179,0.59637868,10
0,0.1809728,0.61630434,10
0,0.38420606,0.55735928,10
0,0.33099455,0.57674575,10
0,0.27930135,0.59648323,10
0,0.23023479,0.61638248,10
0,0.18437544,0.63608009,10
0,0.43346521,0.55747378,10
0,0.38054648,0.57686794,10
0,0.32900092,0.59658784,10
0,0.27989352,0.61646128,10
0,0.23343258,0.63614798,10
0,0.18945988,0.65550685,10
0,0.48272443,0.55758828,10
0,0.43009838,0.57699013,10
0,0.37870049,0.59669238,10
0,0.32955226,0.61654013,10
0,0.28288504,0.6362164,10
0,0.23821102,0.65558547,10
0,0.19524366,0.6747396,10
0,0.53198361,0.55770278,10
0,0.47965032,0.57711226,10
0,0.42840007,0.59679699,10
0,0.37921104,0.61661893,10
0,0.3323375,0.63628495,10
0,0.28735521,0.65566474,10
0,0.24364676,0.67484063,10
0,0.20090401,0.69400835,10
0,0.5812428,0.55781734,10
0,0.52920228,0.57723445,10
0,0.47809967,0.59690154,10
0,0.42886975,0.61669779,10
0,0.38178995,0.63635343,10
0,0.33649939,0.65574408,10
0,0.29244027,0.67494249,10
0,0.24896647,0.69412959,10
0,0.20556094,0.71353769,10
0,0.63050193,0.55793178,10
0,0.57875419,0.57735658,10
0,0.52779925,0.59700614,10
0,0.47852853,0.61677659,10
0,0.43124241,0.63642192,10
0,0.38564357,0.65582335,10
0,0.34123379,0.67504436,10
0,0.29741681,0.69425189,10
0,0.25334314,0.71366346,10
0,0.20820524,0.73342198,10
0,0.67976117,0.55804634,10
0,0.62830609,0.57747877,10
0,0.57749885,0.59711069,10
0,0.52818722,0.61685544,10
0,0.48069483,0.63649035,10
0,0.43478778,0.65590268,10
0,0.39002731,0.67514628,10
0,0.34586713,0.6943742,10
0,0.30151111,0.71379042,10
0,0.2558282,0.73353106,10
0,0.2080577,0.75346899,10
0,0.77992111,0.53879344,10
0,0.72902024,0.55816084,10
0,0.677858,0.5776009,10
0,0.62719846,0.59721524,10
0,0.57784599,0.61693424,10
0,0.53014725,0.63655883,10
0,0.48393196,0.65598196,10
0,0.43882081,0.67524815,10
0,0.39431745,0.69449645,10
0,0.34967911,0.71391726,10
0,0.30383587,0.73364103,10
0,0.25568935,0.75355148,10
0,0.20519473,0.77332795,10
0,0.82881558,0.53888083,10
0,0.77827942,0.55827534,10
0,0.7274099,0.57772309,10
0,0.676898,0.59731984,10
0,0.62750471,0.6170131,10
0,0.57959974,0.63662732,10
0,0.53307617,0.65606123,10
0,0.48761433,0.67535001,10
0,0.44276783,0.69461876,10
0,0.39784709,0.71404415,10
0,0.35184357,0.733751,10
0,0.30370599,0.75363469,10
0,0.25299841,0.77339512,10
0,0.20046821,0.79284376,10
0,0.87770998,0.53896815,10
0,0.82753861,0.55838984,10
0,0.7769618,0.57784522,10
0,0.72659761,0.59742439,10
0,0.67716348,0.61709195,10
0,0.62905216,0.6366958,10
0,0.58222038,0.65614057,10
0,0.53640789,0.67545187,10
0,0.49121815,0.69474101,10
0,0.44601512,0.71417105,10
0,0.39985123,0.73386097,10
0,0.35172263,0.75371778,10
0,0.30118865,0.77346295,10
0,0.24855599,0.7929163,10
0,0.19480066,0.81211042,10
0,0.92660451,0.53905547,10
0,0.87679785,0.55850434,10
0,0.82651377,0.57796741,10
0,0.77629715,0.59752899,10
0,0.72682226,0.61717075,10
0,0.67850459,0.63676429,10
0,0.63136452,0.65621984,10
0,0.58520138,0.67555374,10
0,0.5396685,0.69486332,10
0,0.49418306,0.71429789,10
0,0.44785887,0.73397088,10
0,0.39973927,0.75380099,10
0,0.34937888,0.77353072,10
0,0.2970328,0.79298955,10
0,0.24322914,0.81220341,10
0,0.18893863,0.8313185,10
0,0.97552586,0.53914285,10
0,0.92605698,0.5586189,10
0,0.87606561,0.57808959,10
0,0.82599676,0.59763354,10
0,0.77648097,0.61724961,10
0,0.72795713,0.63683277,10
0,0.68050867,0.65629917,10
0,0.63399488,0.67565572,10
0,0.58811879,0.69498563,10
0,0.54235107,0.71442485,10
0,0.49586657,0.73408085,10
0,0.44775587,0.7538842,10
0,0.39756912,0.77359849,10
0,0.34550962,0.79306281,10
0,0.29204959,0.81229705,10
0,0.23771951,0.83143538,10
0,0.18362089,0.85068202,10
0,0.97534335,0.55873346,10
0,0.92561758,0.57821172,10
0,0.87569636,0.59773809,10
0,0.82613969,0.61732841,10
0,0.77740949,0.6369012,10
0,0.72965288,0.65637839,10
0,0.68278843,0.67575753,10
0,0.63656914,0.69510788,10
0,0.59051901,0.71455169,10
0,0.5438742,0.73419082,10
0,0.49577251,0.75396734,10
0,0.44575936,0.77366632,10
0,0.39398643,0.79313594,10
0,0.34087005,0.81239086,10
0,0.28689539,0.8315531,10
0,0.2327214,0.85081327,10
0,0.17963609,0.87035728,10
0,0.97519678,0.57833397,10
0,0.92539597,0.59784263,10
0,0.87579846,0.61740726,10
0,0.82686198,0.63696969,10
0,0.77879709,0.65645772,10
0,0.73158193,0.67585939,10
0,0.68501949,0.69523013,10
0,0.63868701,0.71467859,10
0,0.59188187,0.73430085,10
0,0.54378915,0.75405055,10
0,0.49394956,0.77373421,10
0,0.44246325,0.7932092,10
0,0.38969052,0.81248462,10
0,0.33607128,0.83167088,10
0,0.28221974,0.85094571,10
0,0.22897609,0.87048435,10
0,0.17748308,0.89032072,10
0,0.97512281,0.59794724,10
0,0.92545724,0.61748606,10
0,0.87631446,0.63703823,10
0,0.82794124,0.65653706,10
0,0.78037548,0.67596132,10
0,0.73346984,0.69535244,10
0,0.68685508,0.71480548,10
0,0.6398896,0.73441076,10
0,0.59180576,0.75413376,10
0,0.54213983,0.77380192,10
0,0.49094003,0.79328251,10
0,0.43851095,0.81257832,10
0,0.3852472,0.83178872,10
0,0.33171806,0.85107809,10
0,0.27871603,0.87061238,10
0,0.22695239,0.89042616,10
0,0.17715666,0.91040611,10
0,0.97514331,0.61756492,10
0,0.92576689,0.63710666,10
0,0.87708545,0.65661633,10
0,0.82916898,0.67606312,10
0,0.78192014,0.69547474,10
0,0.73502302,0.71493232,10
0,0.68789726,0.73452067,10
0,0.63982242,0.75421691,10
0,0.59033,0.77386975,10
0,0.53941685,0.79335564,10
0,0.48733142,0.81267208,10
0,0.43442306,0.8319065,10
0,0.38121641,0.85121047,10
0,0.32845598,0.87074047,10
0,0.27682289,0.89053243,10
0,0.22664541,0.91048259,10
0,0.17837144,0.93046391,10
0,0.97524655,0.6371752,10
0,0.92622966,0.6566956,10
0,0.87796247,0.6761651,10
0,0.83037049,0.69559693,10
0,0.78319103,0.71505928,10
0,0.73590493,0.73463064,10
0,0.68783903,0.75430006,10
0,0.63852024,0.77393758,10
0,0.58789372,0.7934289,10
0,0.53615189,0.81276584,10
0,0.48359898,0.83202428,10
0,0.43071473,0.85134292,10
0,0.37819594,0.8708685,10
0,0.32669339,0.89063871,10
0,0.27653572,0.91055965,10
0,0.22778694,0.93051308,10
0,0.18075103,0.95041978,10
0,0.97540087,0.656775,10
0,0.92675602,0.67626691,10
0,0.87882078,0.69571924,10
0,0.83135897,0.71518612,10
0,0.7839126,0.73474067,10
0,0.73585564,0.75438321,10
0,0.68671048,0.77400535,10
0,0.63637054,0.79350209,10
0,0.58497232,0.81285954,10
0,0.53277487,0.83214206,10
0,0.48021305,0.85147524,10
0,0.42793587,0.87099659,10
0,0.37656388,0.89074492,10
0,0.32642603,0.91063672,10
0,0.2776036,0.93056262,10
0,0.23002324,0.95044768,10
0,0.18393096,0.97026527,10
0,0.9755764,0.67636883,10
0,0.92727113,0.69584155,10
0,0.87952697,0.71531302,10
0,0.83192027,0.73485065,10
0,0.78387231,0.75446641,10
0,0.73490065,0.77407312,10
0,0.68484735,0.79357535,10
0,0.63379282,0.81295323,10
0,0.58195072,0.83225989,10
0,0.52971137,0.85160768,10
0,0.47767586,0.87112474,10
0,0.42643437,0.89085126,10
0,0.37631631,0.91071379,10
0,0.32742026,0.93061215,10
